book,unit,word,phonetic,meaning,example,example_translation
四级英语,Unit 1,abandon,/,əˈbændən/,v. 放弃；抛弃,He abandoned his wife and children.,他抛弃了妻子和孩子。
四级英语,Unit 1,ability,/,əˈbɪləti/,n. 能力；才能,She has the ability to solve problems.,她有解决问题的能力。
四级英语,Unit 1,able,/,ˈeɪbl/,adj. 有能力的；能干的,She is able to speak three languages.,她能说三种语言。
四级英语,Unit 1,abnormal,/,æbˈnɔːrml/,adj. 不正常的；异常的,The test results were abnormal.,测试结果异常。
四级英语,Unit 1,aboard,/,əˈbɔːrd/,adv. 在船(车/飞机)上,Welcome aboard!,欢迎登机！
四级英语,Unit 1,abolish,/,əˈbɑːlɪʃ/,v. 废除；取消,They voted to abolish the death penalty.,他们投票废除死刑。
四级英语,Unit 1,about,/,əˈbaʊt/,prep. 关于；大约,Tell me about your family.,告诉我关于你家人的事。
四级英语,Unit 1,above,/,əˈbʌv/,prep. 在...上面,The picture is above the door.,画在门的上方。
四级英语,Unit 1,abroad,/,əˈbrɔːd/,adv. 在国外,She studied abroad for two years.,她在国外学习了两年。
四级英语,Unit 1,absence,/,ˈæbsəns/,n. 缺席；不在,His absence was noticed by everyone.,大家都注意到了他的缺席。
四级英语,Unit 2,absolute,/,ˈæbsəluːt/,adj. 绝对的；完全的,That's absolute nonsense.,那完全是胡说八道。
四级英语,Unit 2,absorb,/,əbˈzɔːrb/,v. 吸收；吸引,Plants absorb water through their roots.,植物通过根部吸收水分。
四级英语,Unit 2,abstract,/,ˈæbstrækt/,adj. 抽象的,The concept is too abstract for children.,这个概念对孩子来说太抽象了。
四级英语,Unit 2,absurd,/,əbˈsɜːrd/,adj. 荒谬的；可笑的,That's an absurd idea.,那是个荒谬的想法。
四级英语,Unit 2,abundance,/,əˈbʌndəns/,n. 丰富；充裕,There is an abundance of food here.,这里有丰富的食物。
四级英语,Unit 2,abuse,/,əˈbjuːs/,n./v. 滥用；虐待,Drug abuse is a serious problem.,药物滥用是个严重的问题。
四级英语,Unit 2,academic,/,ˌækəˈdemɪk/,adj. 学术的；学院的,She has an academic background.,她有学术背景。
四级英语,Unit 2,academy,/,əˈkædəmi/,n. 学院；研究院,He attended the military academy.,他上了军事学院。
四级英语,Unit 2,accelerate,/,əkˈseləreɪt/,v. 加速；促进,The car accelerated quickly.,汽车加速很快。
四级英语,Unit 2,accent,/,ˈæksent/,n. 口音；重音,She has a British accent.,她有英国口音。
四级英语,Unit 3,accept,/,əkˈsept/,v. 接受；承认,I accept your invitation.,我接受你的邀请。
四级英语,Unit 3,access,/,ˈækses/,n. 进入；通道,Students have access to the library.,学生可以使用图书馆。
四级英语,Unit 3,accident,/,ˈæksɪdənt/,n. 事故；意外,There was a car accident yesterday.,昨天发生了一起车祸。
四级英语,Unit 3,accompany,/,əˈkʌmpəni/,v. 陪伴；伴随,Will you accompany me to the party?,你陪我去参加聚会吗？
四级英语,Unit 3,accomplish,/,əˈkɑːmplɪʃ/,v. 完成；实现,She accomplished her goal.,她实现了目标。
四级英语,Unit 3,according,/,əˈkɔːrdɪŋ/,adv. 按照；根据,According to the news, it will rain.,根据新闻，会下雨。
四级英语,Unit 3,account,/,əˈkaʊnt/,n. 账户；描述,I opened a bank account.,我开了一个银行账户。
四级英语,Unit 3,accumulate,/,əˈkjuːmjəleɪt/,v. 积累；积聚,He accumulated a lot of wealth.,他积累了很多财富。
四级英语,Unit 3,accurate,/,ˈækjərət/,adj. 准确的；精确的,The report is accurate.,报告是准确的。
四级英语,Unit 3,accuse,/,əˈkjuːz/,v. 指控；谴责,She accused him of lying.,她指控他说谎。
